"acquisition_date","acquisition_mileage","at_fault_flag","average_idle_hours","average_mpg","cargo_damage_cost","cdl_class","city","claim_amount","date_of_birth","description","dock_doors","downtime_hours","driver_id","employment_status","facility_id","facility_location","facility_name","facility_type","first_name","fuel_type","hire_date","home_terminal","incident_date","incident_id","incident_type","injury_flag","labor_cost","labor_hours","last_name","latitude","license_number","license_state","location_city","location_state","longitude","maintenance_date","maintenance_id","maintenance_type","make","model_year","month","odometer_reading","on_time_delivery_rate","operating_hours","parts_cost","preventable_flag","service_description","state","status","tank_capacity_gallons","termination_date","total_cost","total_fuel_gallons","total_miles","total_revenue","trip_id","trips_completed","truck_id","unit_number","vehicle_damage_cost","vin","years_experience"
NA,NA,NA,7.8,6.28,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3401.1,21223,43790.85,NA,16,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-12-01",NA,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,3360.9,21622,46003.88,NA,16,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.47,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-01-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2857.2,18268,38932.16,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-02-01",NA,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,4405,28460,53581.07,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.65,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-03-01",NA,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,3107.8,20595,42486,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,5.9,6.55,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-04-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4982.5,33189,73889.12,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-05-01",NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,5834.1,38925,80753.47,NA,27,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.62,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-06-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889.6,25040,48233.25,NA,16,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-01",NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,5208.4,33112,71219.63,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,7.7,6.57,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-01",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3637.3,23507,50546.35,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.27,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-01",NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,4183.4,26151,57939.38,NA,16,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.37,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-01",NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495.6,15481,32072.26,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,6.6,6.62,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-01",NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,4265.6,27676,56540.65,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.8,6.24,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-12-01",NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,4132.2,25415,59509.14,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-01-01",NA,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,5830,36993,79177.37,NA,22,NA,NA,NA,NA,NA
NA,NA,NA,6.8,6.51,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-01",NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3922.4,25006,53929.55,NA,15,NA,NA,NA,NA,NA
NA,NA,NA,6.9,6.4,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-03-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,5817.9,36821,77435.61,NA,27,NA,NA,NA,NA,NA
NA,NA,NA,7,6.32,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-01",NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,3967.3,25192,50274.69,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.4,6.61,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-05-01",NA,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,5454.6,36131,75314.62,NA,23,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.86,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-06-01",NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,4296.5,29615,58603.31,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.75,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-01",NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,5192,34260,74397.86,NA,22,NA,NA,NA,NA,NA
NA,NA,NA,8.2,6.39,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-08-01",NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618.2,16488,38977.62,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.48,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-01",NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,2167.3,13838,26526.61,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.62,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-10-01",NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,3996.9,26301,57856.54,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.35,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-01",NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,3563.1,22320,51436.61,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,8.1,7,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-01",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716.9,12031,22559.21,NA,5,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-01",NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,3361.4,20662,46531.02,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.35,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-02-01",NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,4887.8,30205,66503.01,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.47,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-01",NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,6438.9,41306,90097.62,NA,25,NA,NA,NA,NA,NA
NA,NA,NA,7.8,6.71,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-01",NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,3569.3,23754,57494.21,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,8.5,6.45,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-01",NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,2416,15562,34853.67,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.23,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-01",NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461.7,21552,43571.05,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.79,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-01",NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,3926.3,26283,55906.29,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.42,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-01",NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,4516.8,28940,68562.52,NA,24,NA,NA,NA,NA,NA
NA,NA,NA,6.7,7.01,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-09-01",NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,2351,16681,40369.83,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.57,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-10-01",NA,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400.6,28784,66240.28,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,7.7,6.39,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-11-01",NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,3180.9,20269,48935.04,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.42,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-12-01",NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,3761.5,23807,54110.29,NA,16,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.54,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-01-01",NA,0.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,5347.7,34745,73042.32,NA,26,NA,NA,NA,NA,NA
NA,NA,NA,7.6,6.51,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-02-01",NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733.4,11271,24298.34,NA,12,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-03-01",NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,4219.8,26229,59592.12,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.55,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-04-01",NA,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,3365.5,22020,47419.59,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-05-01",NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,4646.6,29881,58427.21,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,7.4,6.45,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-06-01",NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456.4,28383,57375.17,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,6.7,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-01",NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,4823.1,30581,67743.36,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,7.2,6.52,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-01",NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,4144.1,26499,57555.28,NA,18,NA,NA,NA,NA,NA
NA,NA,NA,6.3,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-01",NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,4451.9,27792,53829.75,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,7,6.22,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-01",NA,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,6158.7,38132,89077.9,NA,22,NA,NA,NA,NA,NA
NA,NA,NA,7.3,6.76,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-01",NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,2530.1,17276,36515.89,NA,13,NA,NA,NA,NA,NA
NA,NA,NA,6.5,6.48,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-12-01",NA,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,5319.9,34149,82666.62,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,6,6.34,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-01-01",NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,3767.8,24126,51538.93,NA,17,NA,NA,NA,NA,NA
NA,NA,NA,7,6.67,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-01",NA,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,5102.6,34284,70980.64,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,7.4,6.54,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-03-01",NA,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,5612.7,35945,82267.56,NA,23,NA,NA,NA,NA,NA
NA,NA,NA,7.1,6.59,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-01",NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546.2,16575,33590.27,NA,13,NA,NA,NA,NA,NA
NA,NA,NA,8.1,6.56,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-05-01",NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,4912.8,31972,68833.32,NA,22,NA,NA,NA,NA,NA
